"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"POPULARITY";"SPICEPREFIX";
"1";"";"10-XX";"B3F-10XX";"S1";"OMRON SWITCH";"";"B3F-1000";"176432";"36M3542";"72";"";
"3";"";"C-USC0805";"C0805";"C1, C2, C3";"CAPACITOR, American symbol";"";"";"";"";"63";"C";
"8";"";"LEDCHIP-LED0805";"CHIP-LED0805";"LED1, LED2, LED3, LED4, LED5, LED6, LED7, LED8";"LED";"";"";"";"";"68";"";
"1";"";"MPT4";"4POL254";"X1";"PHOENIX CONNECTOR";"";"";"unknown";"unknown";"5";"";
"5";"1k";"R-US_R0805";"R0805";"R2, R3, R4, R8, R14";"RESISTOR, American symbol";"";"";"";"";"85";"R";
"2";"2.2k";"R-US_R0805";"R0805";"R1, R6";"RESISTOR, American symbol";"";"";"";"";"85";"R";
"1";"3.3k";"R-US_R0805";"R0805";"R7";"RESISTOR, American symbol";"";"";"";"";"85";"R";
"8";"330";"R-US_R0805";"R0805";"R9, R10, R11, R12, R13, R15, R16, R17";"RESISTOR, American symbol";"";"";"";"";"85";"R";
"1";"47k";"R-US_R0805";"R0805";"R5";"RESISTOR, American symbol";"";"";"";"";"85";"R";
"1";"7406D";"7406D";"SO14";"U6";"Hex INVERTER, open collector high-voltage output";"";"";"";"";"0";"";
"1";"74163D";"74163D";"SO16";"U3";"Synchrounus 4-bit COUNTER";"";"";"";"";"";"";
"2";"74S08D";"74S08D";"SO14";"U8, U9";"Quad 2-input AND gate";"";"";"";"";"0";"";
"1";"74S138D";"74S138D";"SO16";"U4";"3-line to 8-line DECODER/DEMULTIPLEXER";"";"";"";"";"0";"";
"1";"7805DT";"7805DT";"TO252";"U1";"Positive VOLTAGE REGULATOR";"";"";"";"";"0";"";
"3";"LM555D";"LM555D";"SO08";"U2, U5, U7";"TIMER";"";"";"";"";"0";"";
